Year,Month,A,B,C,D,E,F,G
1942,03,69.4,89.3,67.7,53.1,53.8,45.1,32.5
1942,04,71.9,64.5,40.3,59.9,33.1,35.4,18.7
1942,05,249.2,290.8,203.2,186.6,152.2,136.1,85.5
1942,06,136.9,130.2,91.5,145.2,107.5,95.9,63.4
1942,07,133.6,125.9,73.5,106.8,69.1,61.7,40.7
1942,08,166.5,146.0,96.2,150.6,123.4,112.5,73.2
1942,09,139.3,137.7,76.6,80.0,65.2,77.4,29.7
1942,10,83.4,117.8,75.8,56.5,75.9,64.7,44.2
1942,11,100.9,98.4,58.3,55.6,58.0,55.4,40.6
1942,12,26.9,28.5,15.5,19.9,15.5,16.3,12.4
1943,01,59.5,83.5,51.1,46.2,42.3,46.2,32.0
1943,02,33.7,56.2,37.0,11.0,23.9,31.1,10.1
1943,03,8.4,14.6,4.5,2.5,4.6,4.8,1.9
1943,04,171.6,163.9,82.4,89.4,49.6,44.8,27.3
1943,05,47.2,65.1,34.7,22.5,32.4,36.5,16.0
1943,06,119.9,165.2,82.8,89.8,55.2,56.3,31.2
1943,07,124.2,137.0,79.6,84.5,80.9,77.9,40.3
1943,08,119.1,111.8,54.8,91.8,57.5,62.0,34.3
1943,09,129.9,122.5,75.6,88.7,65.8,64.6,38.5
1943,10,48.1,54.9,33.4,35.9,30.4,26.0,27.0
1943,11,54.0,72.6,49.6,36.8,33.7,28.6,15.2
1943,12,35.9,44.7,15.0,9.1,11.6,12.5,7.0
1944,01,13.7,24.7,12.6,5.2,12.9,11.5,4.8
1944,02,18.6,33.6,12.4,14.5,12.0,15.1,5.1
1944,03,40.4,77.3,31.1,21.0,14.7,25.5,10.2
1944,04,131.8,175.7,89.2,81.0,54.2,52.3,42.4
1944,05,214.6,244.6,136.6,129.6,70.3,73.0,53.5
1944,06,65.1,77.2,38.1,42.0,18.5,19.0,9.4
1944,07,121.2,124.0,71.6,89.1,58.4,56.0,30.0
1944,08,28.1,40.5,13.2,7.4,7.4,10.9,1.4
1944,09,41.0,57.9,30.0,22.4,20.8,23.7,9.3
1944,10,70.3,93.5,56.6,43.2,32.6,40.5,24.5
1944,11,52.7,57.9,31.6,40.6,21.4,22.1,16.7
1944,12,69.2,78.4,41.6,40.6,44.7,45.5,28.5
1945,01,86.3,90.9,60.3,64.4,25.1,18.6,31.5
